ucc,label,domain,all_cu_expenditure,q1_expenditure,q2_expenditure,q3_expenditure,q4_expenditure,q5_expenditure,m1_status,proposed_track_a_status,effective_track_a_status,review_status,resolution_state,track_a_rule_id,track_a_node,track_b_treatment,evidence_strength,suppression_status,notes
190903,Food on out of town trips,Food,65028.0,3736.0,5066.0,9389.0,15731.0,31106.0,UNRESOLVED,TRANSFORMED,TRANSFORMED,ACCEPTED,EFFECTIVE,TR_TRIP_FOOD_ALCOHOL_v0_1,FOOD,NOT_APPLICABLE,STRONG,NONE,REASSIGN under TR_TRIP_FOOD_ALCOHOL_v0_1 (ACCEPTED).
190904,Food prepared by consumer unit on out of town trips,Food,12770.0,774.0,1295.0,2279.0,3306.0,5115.0,UNRESOLVED,TRANSFORMED,TRANSFORMED,ACCEPTED,EFFECTIVE,TR_TRIP_FOOD_ALCOHOL_v0_1,FOOD,NOT_APPLICABLE,STRONG,NONE,REASSIGN under TR_TRIP_FOOD_ALCOHOL_v0_1 (ACCEPTED).
200900,Alcoholic beverages purchased on trips,Alcoholic beverages,12919.0,611.0,860.0,1810.0,3393.0,6244.0,UNRESOLVED,TRANSFORMED,TRANSFORMED,ACCEPTED,EFFECTIVE,TR_TRIP_FOOD_ALCOHOL_v0_1,ALCOHOLIC_BEVERAGES,NOT_APPLICABLE,STRONG,NONE,REASSIGN under TR_TRIP_FOOD_ALCOHOL_v0_1 (ACCEPTED).
210901,Ground rent,Housing,10318.0,2602.0,2942.0,1751.0,1963.0,1059.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
210902,Ground rent,Housing,702.0,,15.0,58.0,419.0,210.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 210902 has 1 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
220122,Homeowners insurance,Housing,1935.0,36.0,250.0,172.0,501.0,976.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items.
220211,Property taxes,Housing,371669.0,28596.0,44674.0,58094.0,81684.0,158620.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_RESIDENTIAL_PROPERTY_TAX_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,NONE,EXCLUDE under OS_CPI_RESIDENTIAL_PROPERTY_TAX_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5).
220212,Property taxes,Housing,15769.0,814.0,1551.0,1491.0,3088.0,8825.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_RESIDENTIAL_PROPERTY_TAX_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,NONE,EXCLUDE under OS_CPI_RESIDENTIAL_PROPERTY_TAX_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5).
220311,Mortgage interest,Housing,471125.0,18597.0,35140.0,67871.0,119882.0,229635.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,NONE,EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized.
220312,Mortgage interest,Housing,9623.0,308.0,774.0,1108.0,1846.0,5587.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,NONE,EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized.
