ucc,label,domain,all_cu_expenditure,pct_of_all_cu_basis,candidate_eli_not_applied,candidate_node_not_applied,anomaly,note
230143,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",Housing,2827.0,0.041351,HP041,HOUSEHOLD_FURNISHINGS_OPERATIONS,,"Successor concept to 230142 'Repair of built-in appliances (through 2024-Q1)', which maps to HP041. Not applied: a warranty or service contract is an insurance-like prepayment rather than a repair purchase, and BLS has not stated how the recoding is handled."
230144,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",Housing,146.0,0.002136,HP041,HOUSEHOLD_FURNISHINGS_OPERATIONS,,Renter counterpart of 230143; same reasoning. Notable because it is one of only three unmapped codes in an otherwise fully mapped renter maintenance branch.
270104,Phone cards,Housing,,,ED041,EDUCATION_COMMUNICATION,,"Suppressed for All Consumer Units. The 2020 concordance vintage mapped 270104 to ED041; the 2022 and later vintages dropped it. Sibling 270106 'Residential telephone including VOIP' maps to ED041. The mapping was withdrawn by BLS, so re-applying it would contradict the pinned concordance."
270903,Septic tank cleaning (owned vacation),Housing,,,,,,Suppressed for All Consumer Units. Discontinued code with no 2024-Q2 successor in the stub.
270904,Septic tank cleaning (rented vacation),Housing,,,,,,Suppressed for All Consumer Units. Discontinued code with no 2024-Q2 successor in the stub.
270906,Septic tank cleaning (renter),Housing,31.0,0.000453,HP090,HOUSEHOLD_FURNISHINGS_OPERATIONS,True,"Probable BLS clerical omission, recorded as an anomaly rather than resolved. Its owner twin 270907 'Septic tank cleaning (owner), new UCC 2024-Q2' maps to HP090, and both predecessors 270901 (renter) and 270902 (owner) map to HP090. BLS mapped both the owner and renter members of the parallel water-softening 2024-Q2 recoding (340421 and 340422). No scope rationale excludes a renter code while including its owner twin, since the investment adjustment runs in the opposite direction. Per Section 5.3 no assignment is invented. Recommended BLS query."
300900,Miscellaneous household appliances,Housing,1378.0,0.020156,HK090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,"Diary-sourced residual under CE stub parent MAJAPPL, where every named appliance pair maps to an HK ELI. HK090 'unsampled' is the natural residual. Not applied: BLS has never mapped it, and Casey 2010 records that owner appliance expenditure is adjusted using renter means, so a residual code spanning both tenures may be handled differently."
340913,Repair of miscellaneous household equipment and furnishings,Housing,341.0,0.004988,HP090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,"Diary-sourced. Siblings 340620 (appliance repair) map to HP041 and 340901 (tool and lawn equipment repair and rental) maps to HM090, so the concept is split across two existing ELIs and no single destination is determinable."
340915,Home security system service fees,Housing,6028.0,0.088174,HP090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,"Largest unresolved item. Sibling 340911 'Management and upkeep services for security (owned)' maps to HP090, and 340903, 340914, 340420, 340421, 340422 also map to HP090, so HP090 is the obvious candidate. It is not applied: BLS has never mapped this code in any of the five vintages examined, and a monitored-alarm subscription is a plausible distinct concept from the mapped siblings. Recommended BLS query."
450351,Extra fees for car/truck lease,Transportation,200.0,0.002925,TA031,TRANSPORT_SERVICES,,"All four siblings under CE stub parent LEASVEH (450350, 450352, 450353, 450354) map to TA031. Not applied because 'extra fees' is undefined in the CE documentation and may consist of finance charges, which the CPI excludes; assigning it to TA031 would be an analogy, not evidence."
990900,"Rental and installation of dishwashers, range hoods, and garbage disposals",Housing,,,HK090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,"Suppressed for All Consumer Units. Sibling 340907 'Appliance rentals' maps to HK090, but 990900 conflates rental with installation, and installation of built-in appliances maps to HP043 via 230117 and 230118. The concept spans two ELIs, so no single destination is determinable."
